Energi (kal),Protein (g),Lemak (g),Gula (g),Serat (g),Natrium (mg),Grade
165,1.5,2,65,3,0,C
0,2.7,0.9,9.8,0,0.1,B
57,10,0.1,3.9,0,0.09,A
375,7.8,3.08,70.1,0,1.4,D
163.9,15.3,1,0,0,1.1,A
194,18,3.9,5.7,0,0,B
874.9,15.7,6.1,2.6,0,2.1,D
0,0,0,0,0,0,B
0,5.1,2.2,29,0,4.6,C
21,0.2,0,4.8,0,2.04,B
60,2,1,10,0,1.15,B
52,0.5,0.1,12,0,0,B
63,0.2,0,15.5,0,0,C
32,0.9,0.1,5.3,0,0,B
129,4.4,3.1,16.3,0,0,C
155,12.6,3.3,1.1,0,0.42,A
73,3.3,3,4.3,0,0.25,B
222,11.7,2.1,38.4,0,0,C
0,7.1,28,30,0,0.1,D
290,12.5,4.5,41,0,0.678,D
219,9.7,0.5,30.3,2.8,0.025,A
381,4.6,15.5,27.3,4.4,0.9,D
469,0.8,4.9,58,0,0.464,E
100,0,0,24,0,0.1,C
157,7.8,12,39,0,0.5,D
98,4.6,3.3,7.6,0,3.2,C
0,0,0,0,0,1.5,B
118,2.7,1.2,17.1,0,0.027,C
793,6.8,15,66.3,0,0,E
157,0.6,0,36,3.6,0.1,C
153,8.3,2.5,9.2,0,0.68,B
72,7,0.5,5.2,0,0,A
143,1.9,1,3.9,0,2.8,B
207,8.9,3.8,27.5,1.7,0.18,C
162,9.1,1,20.7,0,0.27,B
174,8.9,0.4,29.3,0,0.4,C
216,12.5,2.1,31.5,0,0.194,C
18,0.9,0.1,2.2,0,0.531,B
169,5.8,0,22.7,0,4.51,C
100,2,1,10,0,5,C
130,17,2.4,1,0,0.443,A
172,8.4,1.2,23.3,2.7,0,B
964,20,9.7,1,0,9,D
48,0.2,0,12,0,0.3,B
298,3.4,3,58,0,3.58,D
114,3.9,0.9,5.7,1.7,2.6,A
536,3.57,28.57,64.29,3.6,0.02,E
464,17.86,0,60.71,7.1,0.6,C
278,12,0.3,53,0,0.31,C
150,5.1,3.7,18.6,0.6,0,C
397,25,21.6,0.1,0,0.635,C
16,1.3,0.1,1,0,1.8,B
197,17,4,3,0,0.34,B
197,8.4,1.1,28.7,0,1.3,C
213,8.1,0.8,30,3.1,18.3,A
191,8.9,1.2,24.4,0,1.1,C
160,9.5,0.5,25.2,1.6,0.467,B
194,9.6,0.8,27.7,0,5.39,C
253,23,2.6,0.5,0,0.4,B
214,4.2,3.5,12,0,0.358,C
235,24,7.5,1,0,0.438,C
561,7.8,3.13,54.3,0,2.5,D
5,2,5,48,0,1.1,D
290,12.6,0.96,37.3,0,2,C
1,0.1,0,0.2,0,3,B
76,5.7,0.3,9.4,0,1,A
290,12.5,4.5,41,0,0,D
64,3.7,2.3,1.8,0,1.2,B
114,3.2,0.5,15.4,0,0,B
212,9.4,3.7,32,0,0.134,C
325,16,11,0,0,2.3,C
196,9.6,1.1,29.4,0,0.4,C
118,1,0.5,3.3,0,0.2,B
451,5.8,2.1,66,0,1.3,D
188,10.6,1.5,23.1,0,1.6,C
282,0.4,0.03,70,0,1.5,D
219,8.7,4.3,29.9,0,0,C
224,0.4,0,55,0,1,D
194,9.6,0.8,27.7,0,2.2,C
287,12.3,5.6,42.9,0,1.8,D
52,0.5,0.1,13,0,0.03,B
73,2.8,0.5,6.6,0,1.2,B
607,17.86,5.36,17.86,7.1,0,C
371,8.57,0,77.14,5.7,1.1,C
462,13.46,1.92,63.46,7.7,1.5,C
356,8.89,0,80,0,0.01,C
438,14.06,4.69,57.81,9.4,1.166,C
575,5,22.5,55,7.5,1.22428,E
857,0,7.14,0,0,0,D
333,22.92,0,62.5,12.5,0,C
368,14.04,0,73.68,1.8,0,C
533,16.67,5,36.67,6.7,0.1397,C
619,19.05,4.76,38.1,38.1,0,C
606,30.3,9.09,15.15,15.2,0,C
484,7.4,4.5,68.6,0,0,D
548,7,7.7,53.4,0,0,E
11,0,0,2.7,0,1.60782,B
12,0,0,2.9,0,0.09652,B
436,14.55,1.82,60,9.1,0.57658,C
629,14.29,3.57,17.86,10.7,0.08,C
500,3.33,23.33,66.67,3.3,0.1,E
411,6.2,2.2,59.2,0,0,D
378,8.89,0,77.78,2.2,0,C
262,16.67,1.19,66.67,9.5,0.02286,C
350,7.5,7.5,42.5,5,0.01016,D
500,13.33,6.67,46.67,6.7,0,D
400,10.91,2.73,69.09,9.1,0.5,C
567,6.67,3.33,23.33,10,0,C
467,8.89,2.22,60,4.4,0.0254,C
370,12.96,4.63,57.41,9.3,0.28448,C
567,16.67,8.33,30,3.3,0.46482,D
567,16.67,6.67,30,3.3,0.02286,C
533,20,3.33,23.33,10,1.27,C
533,6.67,26.67,53.33,6.7,0.19812,D
356,13.33,0,64.44,8.9,96.15678,C
500,5,25,52.5,7.5,0.28194,D
